episode,timestep,reward
2193,1916000,57.3213
2195,1918000,180.277
2197,1920000,114.9726
2199,1922000,174.8235
2201,1924000,174.7504
2204,1926000,102.1525
2206,1928000,175.5294
2208,1930000,166.1322
2210,1932000,169.0672
2212,1934000,178.2456
2214,1936000,175.139
2216,1938000,164.4161
2218,1940000,39.2007
2220,1942000,177.6605
2222,1944000,88.9638
2224,1946000,173.9785
2226,1948000,173.6607
2229,1950000,98.3689
2232,1952000,98.775
2234,1954000,167.4638
2236,1956000,87.2067
2238,1958000,171.9177
2240,1960000,81.8144
2243,1962000,107.7485
2245,1964000,185.3679
2248,1966000,86.5482
2250,1968000,175.8839
2252,1970000,165.3546
2254,1972000,165.6257
2256,1974000,169.3266
2258,1976000,169.385
2260,1978000,154.51
2262,1980000,174.0936
2264,1982000,74.7957
2266,1984000,172.861
2268,1986000,118.8885
2270,1988000,167.0787
2272,1990000,169.221
2274,1992000,169.8807
2276,1994000,174.0089
2278,1996000,177.4449
2280,1998000,176.6841
2282,2000000,179.219
2284,2002000,171.0225
2286,2004000,165.9815
2288,2006000,178.3285
2290,2008000,176.0693
2292,2010000,175.2119
2295,2012000,62.399
2297,2014000,88.5766
2299,2016000,172.7893
2301,2018000,76.5045
2303,2020000,178.8064
2305,2022000,178.9336
2307,2024000,173.1245
2309,2026000,115.389
2311,2028000,177.0563
2313,2030000,175.7107
2315,2032000,171.7645
2317,2034000,178.398
2319,2036000,172.1131
2321,2038000,174.6996
2324,2040000,107.7481
2326,2042000,86.4722
2328,2044000,167.7166
2330,2046000,180.998
2332,2048000,180.5671
2334,2050000,170.1788
2337,2052000,120.3192
2339,2054000,173.2595
2341,2056000,173.7204
2343,2058000,169.0683
2345,2060000,183.295
2347,2062000,171.0928
2349,2064000,176.364
2351,2066000,183.6732
2353,2068000,164.3102
2355,2070000,175.3193
2357,2072000,168.6212
2359,2074000,174.5801
2361,2076000,178.7545
2363,2078000,180.7453
2365,2080000,177.2535
2368,2082000,91.9525
2370,2084000,168.8632
2372,2086000,176.253
2374,2088000,185.1367
2376,2090000,177.3182
2378,2092000,76.3072
2380,2094000,176.7076
2383,2096000,106.1818
2385,2098000,174.1434
2387,2100000,172.0335
2389,2102000,108.7265
2391,2104000,104.0066
2393,2106000,178.2642
2396,2108000,103.1122
2398,2110000,166.4874
2400,2112000,113.42
2402,2114000,175.1222
2404,2116000,179.0397
2406,2118000,183.0864
2408,2120000,182.4972
2410,2122000,174.9337
2412,2124000,182.3646
2414,2126000,75.8241
2416,2128000,168.8957
2418,2130000,178.989
2420,2132000,177.8776
2422,2134000,171.9132
2424,2136000,179.0112
2426,2138000,172.8541
2428,2140000,170.8639
2430,2142000,188.4561
2432,2144000,179.807
2434,2146000,177.8508
2436,2148000,178.3666
2438,2150000,176.7466
2441,2152000,115.7623
2443,2154000,178.6684
2445,2156000,175.4045
2447,2158000,82.8132
2450,2160000,86.1973
2453,2162000,95.5652
2455,2164000,178.0105
2457,2166000,184.7357
2459,2168000,171.6883
2461,2170000,179.1633
2463,2172000,181.1406
2465,2174000,179.3225
2467,2176000,174.2673
2469,2178000,187.696
2471,2180000,179.3581
2473,2182000,178.6864
2475,2184000,185.6767
2477,2186000,179.5896
2479,2188000,190.593
2481,2190000,179.6272
2483,2192000,182.8682
2485,2194000,179.6357
2487,2196000,172.1917
2489,2198000,176.5838
2491,2200000,182.5006
2493,2202000,182.4955
2495,2204000,179.6145
2497,2206000,181.5524
2499,2208000,181.7027
2501,2210000,191.3224
2503,2212000,170.1958
2505,2214000,187.4723
2507,2216000,191.1559
2509,2218000,174.5253
2511,2220000,177.4396
2513,2222000,183.4291
2515,2224000,123.3202
2517,2226000,176.7918
2519,2228000,184.4363
2521,2230000,181.7633
2523,2232000,80.3819
2526,2234000,96.3601
2528,2236000,181.569
2530,2238000,84.2138
2532,2240000,185.7867
2534,2242000,97.7884
2536,2244000,183.4791
2538,2246000,171.5187
2540,2248000,177.6773
2542,2250000,179.977
2544,2252000,181.1342
2546,2254000,185.4477
2548,2256000,190.9913
2551,2258000,110.4498
2553,2260000,180.2278
2556,2262000,95.2134
2558,2264000,82.6169
2560,2266000,181.6803
2562,2268000,194.2617
2564,2270000,183.6494
2566,2272000,170.3691
2568,2274000,189.3851
2571,2276000,119.0103
2573,2278000,189.7245
2575,2280000,181.9799
2577,2282000,113.2874
2579,2284000,174.0859
2581,2286000,176.7701
2583,2288000,101.1505
2585,2290000,184.0958
2587,2292000,180.4054
2589,2294000,111.3822
2591,2296000,186.2356
2593,2298000,198.2613
2595,2300000,183.1203
2597,2302000,179.5788
2599,2304000,184.0943
2601,2306000,194.0266
2603,2308000,190.8067
2605,2310000,194.9803
2607,2312000,179.6735
2609,2314000,175.6786
2612,2316000,137.5647
2614,2318000,178.9874
2616,2320000,186.3058
2618,2322000,178.7007
2621,2324000,53.8512
2623,2326000,192.7579
2625,2328000,182.8898
2627,2330000,188.4763
2629,2332000,182.9592
2631,2334000,181.4211
2633,2336000,186.4316
2635,2338000,187.528
2637,2340000,65.7621
2639,2342000,188.2615
2641,2344000,180.6937
2643,2346000,181.8892
2645,2348000,177.1758
2647,2350000,189.715
2651,2352000,63.3161
2653,2354000,64.3103
2655,2356000,179.3217
2657,2358000,188.8752
2659,2360000,170.7124
2661,2362000,175.8493
2663,2364000,174.2139
2665,2366000,179.8693
2667,2368000,181.6707
2669,2370000,192.2803
2672,2372000,126.9607
2674,2374000,187.5732
2676,2376000,181.6071
2678,2378000,57.8034
2680,2380000,181.8458
2682,2382000,189.5029
2684,2384000,187.9187
2686,2386000,183.4651
2688,2388000,195.6934
2690,2390000,186.5811
2693,2392000,128.7
2695,2394000,188.7315
2697,2396000,186.9951
2699,2398000,186.2776
2701,2400000,186.608
2703,2402000,184.0357
2705,2404000,177.1632
2707,2406000,184.6728
2710,2408000,110.0102
2712,2410000,61.5111
2714,2412000,186.2667
2716,2414000,117.566
2718,2416000,186.9422
2721,2418000,135.3923
2723,2420000,189.3692
2725,2422000,194.0282
2727,2424000,188.096
2729,2426000,59.8271
2731,2428000,115.994
2734,2430000,119.8762
2736,2432000,105.772
2738,2434000,186.948
2740,2436000,193.6274
2742,2438000,184.7419
2744,2440000,185.1537
2746,2442000,178.0423
2748,2444000,186.3813
2751,2446000,101.6689
2753,2448000,188.4793
2755,2450000,90.8409
2757,2452000,194.0255
2759,2454000,110.8223
2761,2456000,191.2774
2764,2458000,119.6327
2766,2460000,195.896
2768,2462000,184.9453
